age,are_food_areas_important_to_you,current_status,did_you_find_our_events_value_for_money,do_you_enjoy_adrenaline_rush_activities,favourite_attraction,gender,how_many_hours_are_you_willing_to_travel_to_attend_an_event,how_often_you_attend_entertaining_events_in_a_year,social_media,total_household_income,were_you_satisfied_with_the_last_event_you_attended_with_us,would_you_recommend_our_events_to_other_people
21-25,Neither agree nor disagree,"Single, never married",Mostly disagree,Entirely agree,Ice skating,Female,6 hours plus,5+ Times a Year,Half a day,"50,000 to 74,999",Mostly agree,Mostly Likely
50-59,Neither agree nor disagree,Living with partner,Entirely disagree,Neither agree nor disagree,Happy Rollercoaster,Female,1 hour,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Very Unlikely
40-49,Mostly agree,Married with children,Entirely disagree,Neither agree nor disagree,Kids Playground,Male,4 hours,3 Times a Year,Up to 2 hours,"35,000 to 49,999",Mostly agree,Very Likely
60-64,Somewhat agree,Widowed,Somewhat agree,Neither agree nor disagree,Happy Rollercoaster,Female,3 hours,4 Times a Year,I don't spend any time at all,"200,000 or more",Neither agree nor disagree,Very Likely
65 or older,Neither agree nor disagree,"Single, never married",Mostly disagree,Entirely agree,Ice skating,Female,6 hours plus,5+ Times a Year,Half a day,"75,000 to 99,999",Mostly agree,Mostly Likely
50-59,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"200,000 or more",Entirely agree,Very Unlikely
21-25,Neither agree nor disagree,"Single, never married",Mostly disagree,Entirely agree,Ice skating,Male,6 hours plus,5+ Times a Year,Half a day,"50,000 to 74,999",Mostly agree,Mostly Likely
65 or older,Neither agree nor disagree,Married with children,Entirely disagree,Neither agree nor disagree,Kids Playground,Male,4 hours,4 Times a Year,Up to 1 hour,"35,000 to 49,999",Mostly agree,Somewhat Likely
50-59,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"200,000 or more",Entirely agree,Very Unlikely
40-49,Entirely agree,Living with partner,Somewhat agree,Entirely disagree,Happy Rollercoaster,Female,6 hours plus,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Somewhat disagree,Very Likely
50-59,Mostly agree,Married with children,Mostly agree,Neither agree nor disagree,Kids Playground,Male,5 hours,4 Times a Year,Up to 2 hours,"75,000 to 99,999",Mostly agree,Very Likely
65 or older,Neither agree nor disagree,Married with children,Somewhat agree,Neither agree nor disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"Less than 20,000",Mostly agree,Somewhat Unlikely
40-49,Entirely agree,Married with children,Entirely disagree,Mostly disagree,Kids Playground,Male,6 hours plus,4 Times a Year,Up to 1 hour,"35,000 to 49,999",Mostly disagree,Very Unlikely
65 or older,Neither agree nor disagree,Married without children,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Somewhat agree,Married without children,Mostly agree,Mostly disagree,Wooden Bar,Female,4 hours,4 Times a Year,Up to 1 hour,"75,000 to 99,999",Entirely agree,Neither agree nor disagree
40-49,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"200,000 or more",Entirely agree,Very Unlikely
60-64,Mostly agree,Married without children,Entirely agree,Neither agree nor disagree,Ice Bar,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Likely
65 or older,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
65 or older,Neither agree nor disagree,Widowed,Mostly disagree,Entirely agree,Ice skating,Male,6 hours plus,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Mostly Likely
65 or older,Mostly agree,Married with children,Mostly disagree,Neither agree nor disagree,Kids Playground,Male,3 hours,4 Times a Year,I don't spend any time at all,"Less than 20,000",Mostly agree,Very Likely
60-64,Neither agree nor disagree,Divorced,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
65 or older,Mostly agree,Married with children,Entirely agree,Neither agree nor disagree,Kids Playground,Male,5 hours,4 Times a Year,Up to 2 hours,"20,000 to 34,999",Mostly agree,Very Likely
50-59,Somewhat agree,Married with children,Somewhat disagree,Somewhat disagree,Kids Playground,Male,6 hours plus,4 Times a Year,I don't spend any time at all,"35,000 to 49,999",Mostly agree,Very Unlikely
50-59,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Entirely agree,Very Unlikely
50-59,Neither agree nor disagree,Married without children,Somewhat agree,Neither agree nor disagree,Happy Rollercoaster,Female,3 hours,4 Times a Year,Up to 1 hour,"Less than 20,000",Somewhat agree,Somewhat Likely
50-59,Neither agree nor disagree,Married with children,Mostly agree,Mostly disagree,Kids Playground,Male,6 hours plus,4 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Mostly Unlikely
50-59,Somewhat agree,Married with children,Somewhat agree,Mostly disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Half a day,"50,000 to 74,999",Mostly agree,Very Likely
65 or older,Mostly agree,Married without children,Entirely disagree,Neither agree nor disagree,Ice Bar,Male,5 hours,4 Times a Year,I don't spend any time at all,"100,000 to 149,999",Neither agree nor disagree,Somewhat Likely
40-49,Neither agree nor disagree,"Single, never married",Entirely agree,Somewhat agree,Kids Playground,Male,4 hours,3 Times a Year,Up to 2 hours,"100,000 to 149,999",Entirely agree,Very Likely
40-49,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
33-39,Somewhat agree,Living with partner,Neither agree nor disagree,Somewhat disagree,Wooden Bar,Male,5 hours,4 Times a Year,Up to 1 hour,"50,000 to 74,999",Somewhat agree,Somewhat Likely
33-39,Neither agree nor disagree,Married without children,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
40-49,Neither agree nor disagree,Married with children,Mostly agree,Neither agree nor disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 2 hours,"50,000 to 74,999",Somewhat disagree,Very Likely
65 or older,Entirely agree,Married with children,Entirely disagree,Mostly disagree,Kids Playground,Male,3 hours,4 Times a Year,I don't spend any time at all,"50,000 to 74,999",Mostly agree,Mostly Likely
50-59,Entirely disagree,Married without children,Entirely agree,Somewhat agree,Happy Rollercoaster,Female,4 hours,4 Times a Year,Up to 2 hours,"75,000 to 99,999",Entirely agree,Very Likely
33-39,Neither agree nor disagree,"Single, never married",Mostly disagree,Entirely agree,Ice skating,Female,6 hours plus,5+ Times a Year,Half a day,"50,000 to 74,999",Mostly agree,Mostly Likely
26-32,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Female,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
33-39,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"200,000 or more",Entirely agree,Very Unlikely
40-49,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Entirely agree,Very Unlikely
50-59,Mostly agree,Living with partner,Mostly agree,Entirely disagree,Ice Bar,Male,5 hours,2 Times a Year,I don't spend any time at all,"50,000 to 74,999",Mostly agree,Neither agree nor disagree
50-59,Neither agree nor disagree,"Single, never married",Mostly disagree,Entirely agree,Ice skating,Male,6 hours plus,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Mostly Likely
40-49,Mostly agree,Married without children,Mostly agree,Neither agree nor disagree,Wooden Bar,Female,5 hours,4 Times a Year,Half a day,"75,000 to 99,999",Mostly disagree,Very Likely
50-59,Somewhat agree,Married with children,Entirely agree,Mostly disagree,Kids Playground,Male,5 hours,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Mostly Unlikely
40-49,Somewhat agree,Married without children,Somewhat agree,Somewhat disagree,Wooden Bar,Male,4 hours,3 Times a Year,Up to 1 hour,"75,000 to 99,999",Mostly agree,Neither agree nor disagree
65 or older,Neither agree nor disagree,Married with children,Entirely disagree,Mostly disagree,Kids Playground,Female,5 hours,4 Times a Year,I don't spend any time at all,"50,000 to 74,999",Mostly agree,Mostly Unlikely
40-49,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Female,1 hour,1 Times a Year,Half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
50-59,Neither agree nor disagree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,2 hours,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Neither agree nor disagree
40-49,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"150,000 to 199,999",Entirely agree,Very Unlikely
40-49,Entirely agree,Married with children,Somewhat agree,Neither agree nor disagree,Kids Playground,Male,4 hours,4 Times a Year,I don't spend any time at all,"35,000 to 49,999",Entirely agree,Somewhat Unlikely
33-39,Entirely agree,Living with partner,Somewhat disagree,Entirely disagree,Happy Rollercoaster,Female,2 hours,4 Times a Year,Up to 2 hours,"50,000 to 74,999",Mostly disagree,Somewhat Unlikely
65 or older,Mostly agree,Married with children,Entirely disagree,Somewhat disagree,Kids Playground,Female,6 hours plus,3 Times a Year,Up to 1 hour,"75,000 to 99,999",Mostly agree,Neither agree nor disagree
33-39,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
50-59,Neither agree nor disagree,Divorced,Mostly disagree,Entirely agree,Ice skating,Male,6 hours plus,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Mostly Likely
60-64,Mostly agree,Married with children,Neither agree nor disagree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,I don't spend any time at all,"50,000 to 74,999",Mostly agree,Somewhat Likely
21-25,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Female,1 hour,1 Times a Year,Half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
65 or older,Somewhat disagree,Married with children,Mostly agree,Somewhat agree,Kids Playground,Male,3 hours,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Very Unlikely
60-64,Mostly agree,Living with partner,Mostly agree,Entirely disagree,Ice Bar,Male,5 hours,2 Times a Year,Up to 1 hour,"75,000 to 99,999",Mostly agree,Mostly Unlikely
50-59,Somewhat agree,Married with children,Entirely disagree,Mostly disagree,Kids Playground,Male,5 hours,3 Times a Year,Up to 1 hour,"35,000 to 49,999",Mostly agree,Somewhat Unlikely
65 or older,Neither agree nor disagree,Married with children,Somewhat disagree,Neither agree nor disagree,Kids Playground,Male,4 hours,4 Times a Year,I don't spend any time at all,"20,000 to 34,999",Mostly agree,Neither agree nor disagree
40-49,Neither agree nor disagree,Married with children,Mostly agree,Entirely disagree,Kids Playground,Female,5 hours,2 Times a Year,Up to 1 hour,"75,000 to 99,999",Entirely agree,Very Likely
33-39,Somewhat agree,Married without children,Mostly agree,Somewhat disagree,Happy Rollercoaster,Male,Depends from the Event,4 Times a Year,Up to 1 hour,"150,000 to 199,999",Entirely agree,Very Unlikely
40-49,Neither agree nor disagree,Married with children,Entirely disagree,Mostly disagree,Kids Playground,Male,5 hours,2 Times a Year,Up to 2 hours,"75,000 to 99,999",Entirely disagree,Mostly Likely
33-39,Neither agree nor disagree,"Single, never married",Mostly disagree,Entirely agree,Ice skating,Male,6 hours plus,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Mostly Likely
50-59,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Female,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Mostly agree,Living with partner,Somewhat disagree,Mostly disagree,Kids Playground,Male,5 hours,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Entirely agree,Neither agree nor disagree
50-59,Neither agree nor disagree,Married with children,Mostly agree,Mostly disagree,Kids Playground,Female,6 hours plus,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Neither agree nor disagree
33-39,Neither agree nor disagree,Divorced,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Male,6 hours plus,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Entirely agree,Very Unlikely
65 or older,Somewhat agree,Married with children,Mostly disagree,Mostly disagree,Kids Playground,Male,4 hours,4 Times a Year,I don't spend any time at all,"20,000 to 34,999",Mostly agree,Mostly Likely
50-59,Entirely agree,Married with children,Entirely agree,Entirely disagree,Kids Playground,Female,6 hours plus,3 Times a Year,Up to 1 hour,"150,000 to 199,999",Entirely agree,Very Unlikely
33-39,Somewhat agree,"Single, never married",Mostly agree,Entirely disagree,Kids Playground,Male,4 hours,2 Times a Year,Up to 1 hour,"150,000 to 199,999",Somewhat agree,Somewhat Unlikely
33-39,Entirely agree,Married with children,Entirely disagree,Mostly disagree,Kids Playground,Female,5 hours,3 Times a Year,Half a day,"35,000 to 49,999",Somewhat disagree,Very Likely
50-59,Neither agree nor disagree,Married with children,Somewhat agree,Neither agree nor disagree,Kids Playground,Male,5 hours,4 Times a Year,I don't spend any time at all,"50,000 to 74,999",Mostly agree,Somewhat Likely
50-59,Neither agree nor disagree,Married with children,Somewhat agree,Mostly disagree,Kids Playground,Male,4 hours,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Neither agree nor disagree
50-59,Neither agree nor disagree,Divorced,Mostly disagree,Entirely agree,Ice skating,Male,6 hours plus,5+ Times a Year,Half a day,"50,000 to 74,999",Mostly agree,Mostly Likely
65 or older,Neither agree nor disagree,Married without children,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Female,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Neither agree nor disagree,Living with partner,Somewhat disagree,Mostly disagree,Happy Rollercoaster,Female,4 hours,4 Times a Year,Up to 1 hour,"75,000 to 99,999",Mostly disagree,Somewhat Likely
40-49,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Male,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Neither agree nor disagree,Married without children,Somewhat disagree,Entirely agree,Crazy rollercoaster ride,Female,1 hour,1 Times a Year,Half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
50-59,Entirely disagree,Married with children,Somewhat disagree,Somewhat agree,Kids Playground,Male,5 hours,3 Times a Year,Up to 1 hour,"35,000 to 49,999",Mostly agree,Neither agree nor disagree
60-64,Neither agree nor disagree,Living with partner,Neither agree nor disagree,Somewhat disagree,Happy Rollercoaster,Female,2 hours,4 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Very Unlikely
60-64,Somewhat agree,Married with children,Neither agree nor disagree,Mostly disagree,Kids Playground,Female,6 hours plus,3 Times a Year,I don't spend any time at all,"50,000 to 74,999",Mostly agree,Somewhat Unlikely
50-59,Entirely agree,Married without children,Mostly agree,Neither agree nor disagree,Kids Playground,Male,6 hours plus,2 Times a Year,I don't spend any time at all,"50,000 to 74,999",Entirely disagree,Very Unlikely
